,FIPS,year,num_ind,per_capita_personal_income_dollars,population_persons,hpi,num_disasters,num_ind-1
9,54001,2002,-59,17998.0,15436.0,100.0,0.0,52.0
10,54001,2003,-45,18934.0,15569.0,103.48,0.0,-59.0
11,54001,2004,44,19481.0,15639.0,107.1,0.0,-45.0
12,54001,2005,-30,20384.0,15629.0,109.21,1.0,44.0
13,54001,2006,-32,21303.0,15722.0,114.52,1.0,-30.0
14,54001,2007,-37,22926.0,15922.0,135.35,0.0,-32.0
15,54001,2008,-56,24086.0,16036.0,140.41,1.0,-37.0
16,54001,2009,-44,25464.0,16241.0,139.89,1.0,-56.0
17,54001,2010,-19,25686.0,16479.0,138.16,0.0,-44.0
18,54001,2011,98,26384.0,16601.0,140.65,0.0,-19.0
19,54001,2012,11,27633.0,16600.0,134.31,0.0,98.0
20,54001,2013,51,28734.0,16869.0,142.41,2.0,11.0
21,54001,2014,-106,28328.0,16875.0,133.35,2.0,51.0
22,54001,2015,31,28878.0,16909.0,156.24,0.0,-106.0
23,54001,2016,134,28965.0,16980.0,141.97,1.0,31.0
24,54001,2017,96,29248.0,16752.0,155.13,0.0,134.0
25,54001,2018,60,30543.0,16530.0,143.39,0.0,96.0
26,54001,2019,-90,32519.0,16524.0,145.39,0.0,60.0
28,17031,1994,64795,24457.0,5173663.0,305.0,1.0,61910.0
29,17031,1995,65215,25443.0,5182502.0,313.98,0.0,64795.0
30,17031,1996,61304,26931.0,5186349.0,325.89,0.0,65215.0
31,17031,1997,61246,28285.0,5191223.0,335.46,1.0,61304.0
32,17031,1998,59521,29836.0,5189148.0,346.25,1.0,61246.0
33,17031,1999,61838,31627.0,5192396.0,354.6,0.0,59521.0
34,17031,2000,66437,32655.0,5192326.0,370.95,1.0,61838.0
35,17031,2001,66528,35173.0,5373418.0,406.14,0.0,66437.0
36,17031,2002,76001,36229.0,5360562.0,434.32,1.0,66528.0
37,17031,2003,76250,36637.0,5328775.0,463.51,0.0,76001.0
38,17031,2004,79267,36873.0,5294739.0,484.56,0.0,76250.0
39,17031,2005,76221,38257.0,5252021.0,530.78,0.0,79267.0
40,17031,2006,71333,40466.0,5207615.0,591.97,1.0,76221.0
41,17031,2007,51791,43332.0,5165495.0,636.95,0.0,71333.0
42,17031,2008,33431,46513.0,5154235.0,644.86,1.0,51791.0
43,17031,2009,21228,46899.0,5161831.0,610.39,0.0,33431.0
44,17031,2010,25058,43394.0,5181728.0,538.37,1.0,21228.0
45,17031,2011,25550,44151.0,5200950.0,489.99,1.0,25058.0
46,17031,2012,27314,45833.0,5219636.0,457.29,1.0,25550.0
47,17031,2013,40875,48484.0,5239105.0,439.21,0.0,27314.0
48,17031,2014,45177,49832.0,5252513.0,444.13,1.0,40875.0
49,17031,2015,30793,53614.0,5254108.0,470.63,0.0,45177.0
50,17031,2016,55702,56543.0,5243371.0,487.71,0.0,30793.0
51,17031,2017,86023,57175.0,5223386.0,505.1,0.0,55702.0
52,17031,2018,54337,59443.0,5199582.0,522.41,0.0,86023.0
53,17031,2019,46148,63436.0,5171007.0,535.84,0.0,54337.0
55,17043,1994,-2889,31557.0,828385.0,286.81,0.0,-2382.0
56,17043,1995,123,32596.0,842730.0,297.42,0.0,-2889.0
57,17043,1996,2827,35127.0,852140.0,310.71,0.0,123.0
58,17043,1997,1665,37459.0,859810.0,317.67,1.0,2827.0
59,17043,1998,206,39538.0,869956.0,327.67,0.0,1665.0
60,17043,1999,-176,42283.0,880996.0,335.5,0.0,206.0
61,17043,2000,4292,44820.0,892547.0,351.32,1.0,-176.0
62,17043,2001,5080,47581.0,906284.0,383.72,0.0,4292.0
63,17043,2002,6055,46709.0,911474.0,407.26,1.0,5080.0
64,17043,2003,9033,46709.0,913880.0,435.03,0.0,6055.0
65,17043,2004,7285,48178.0,914078.0,454.47,0.0,9033.0
66,17043,2005,8420,50100.0,913940.0,495.33,0.0,7285.0
67,17043,2006,8635,50311.0,911378.0,549.89,1.0,8420.0
68,17043,2007,7184,54128.0,908685.0,585.98,0.0,8635.0
69,17043,2008,3699,55151.0,907426.0,589.92,0.0,7184.0
70,17043,2009,2556,54795.0,909798.0,568.47,0.0,3699.0
71,17043,2010,1326,51431.0,912732.0,517.49,1.0,2556.0
72,17043,2011,75,52948.0,918764.0,480.9,1.0,1326.0
73,17043,2012,2962,55570.0,924866.0,454.36,1.0,75.0
74,17043,2013,1596,58212.0,928719.0,442.46,0.0,2962.0
75,17043,2014,3455,58785.0,932301.0,451.68,1.0,1596.0
76,17043,2015,2204,62165.0,933480.0,478.11,0.0,3455.0
77,17043,2016,5420,66016.0,933669.0,491.15,0.0,2204.0
78,17043,2017,7197,66617.0,931408.0,503.88,0.0,5420.0
79,17043,2018,5862,69386.0,930569.0,521.12,0.0,7197.0
80,17043,2019,5897,72823.0,927808.0,534.55,0.0,5862.0
82,17041,1994,-10,18295.0,19535.0,117.69,0.0,-119.0
83,17041,1995,-12,19459.0,19632.0,125.54,1.0,-10.0
84,17041,1996,-90,19482.0,19756.0,133.51,0.0,-12.0
85,17041,1997,-46,21467.0,19768.0,144.71,1.0,-90.0
86,17041,1998,-45,22194.0,19874.0,149.61,0.0,-46.0
87,17041,1999,34,22508.0,19885.0,151.23,0.0,-45.0
88,17041,2000,0,23567.0,19872.0,155.07,1.0,34.0
89,17041,2001,-115,25565.0,19964.0,164.46,0.0,0.0
90,17041,2002,-18,28560.0,20032.0,172.43,0.0,-115.0
91,17041,2003,118,28444.0,20017.0,175.38,1.0,-18.0
92,17041,2004,-5,29950.0,20010.0,178.74,0.0,118.0
93,17041,2005,35,32530.0,20100.0,189.01,0.0,-5.0
94,17041,2006,46,31410.0,20101.0,194.25,1.0,35.0
95,17041,2007,25,33127.0,20111.0,203.83,0.0,46.0
96,17041,2008,49,35450.0,20061.0,206.35,0.0,25.0
97,17041,2009,122,37163.0,19970.0,210.93,1.0,49.0
98,17041,2010,38,37435.0,19949.0,206.22,0.0,122.0
99,17041,2011,207,39592.0,19970.0,204.85,0.0,38.0
100,17041,2012,22,43163.0,19863.0,201.39,1.0,207.0
101,17041,2013,-52,41982.0,19881.0,201.71,0.0,22.0
102,17041,2014,95,46892.0,19853.0,203.02,1.0,-52.0
103,17041,2015,68,45475.0,19898.0,211.45,1.0,95.0
104,17041,2016,57,45858.0,19827.0,204.59,0.0,68.0
105,17041,2017,14,46251.0,19732.0,214.71,0.0,57.0
106,17041,2018,83,48556.0,19616.0,221.37,0.0,14.0
107,17041,2019,-13,51189.0,19449.0,224.36,0.0,83.0
109,17039,1994,-81,18350.0,16723.0,123.91,0.0,13.0
110,17039,1995,25,20085.0,16851.0,128.32,1.0,-81.0
111,17039,1996,37,20825.0,16822.0,142.12,0.0,25.0
112,17039,1997,-70,22963.0,16734.0,148.49,0.0,37.0
113,17039,1998,29,23577.0,16754.0,154.63,0.0,-70.0
114,17039,1999,-13,24701.0,16737.0,154.74,0.0,29.0
115,17039,2000,8,25702.0,16676.0,158.96,1.0,-13.0
116,17039,2001,34,26462.0,16800.0,169.79,0.0,8.0
117,17039,2002,51,28124.0,16792.0,171.12,1.0,34.0
118,17039,2003,-131,28634.0,16673.0,170.78,1.0,51.0
119,17039,2004,55,28701.0,16686.0,174.72,0.0,-131.0
120,17039,2005,-38,30608.0,16671.0,179.74,0.0,55.0
121,17039,2006,-98,29692.0,16716.0,183.64,1.0,-38.0
122,17039,2007,12,31153.0,16792.0,200.34,0.0,-98.0
123,17039,2008,-37,33434.0,16742.0,205.29,1.0,12.0
124,17039,2009,63,36088.0,16733.0,199.0,0.0,-37.0
125,17039,2010,-54,36307.0,16538.0,192.7,0.0,63.0
126,17039,2011,36,37966.0,16556.0,194.78,0.0,-54.0
127,17039,2012,-171,41378.0,16549.0,190.31,0.0,36.0
128,17039,2013,-7,42534.0,16490.0,190.87,0.0,-171.0
129,17039,2014,41,49828.0,16372.0,189.44,0.0,-7.0
130,17039,2015,41,48479.0,16216.0,188.37,0.0,41.0
131,17039,2016,-56,43462.0,16185.0,188.0,0.0,41.0
132,17039,2017,72,45196.0,16152.0,192.14,0.0,-56.0
133,17039,2018,-6,45201.0,15910.0,198.03,0.0,72.0
134,17039,2019,-72,47348.0,15768.0,196.62,0.0,-6.0
136,17037,1994,-1200,19114.0,80880.0,192.69,0.0,-777.0
137,17037,1995,-805,20082.0,81807.0,201.06,0.0,-1200.0
138,17037,1996,-778,21065.0,83161.0,212.32,0.0,-805.0
139,17037,1997,-523,22669.0,84033.0,218.95,1.0,-778.0
140,17037,1998,-679,23567.0,84900.0,224.86,0.0,-523.0
141,17037,1999,-770,24820.0,85896.0,228.8,0.0,-679.0
142,17037,2000,-517,25733.0,86993.0,234.32,0.0,-770.0
143,17037,2001,-500,26656.0,89237.0,244.3,0.0,-517.0
144,17037,2002,-629,27940.0,90545.0,253.16,0.0,-500.0
145,17037,2003,-1033,28183.0,91951.0,261.58,0.0,-629.0
146,17037,2004,-1169,28936.0,94096.0,268.55,0.0,-1033.0
147,17037,2005,-1786,29072.0,96106.0,288.23,0.0,-1169.0
148,17037,2006,-1603,29439.0,98438.0,315.63,1.0,-1786.0
149,17037,2007,-1015,30748.0,101437.0,332.33,0.0,-1603.0
150,17037,2008,-292,31609.0,103746.0,337.11,2.0,-1015.0
151,17037,2009,-73,31958.0,104601.0,327.53,0.0,-292.0
152,17037,2010,148,30741.0,105146.0,302.03,1.0,-73.0
153,17037,2011,640,31336.0,105201.0,274.41,0.0,148.0
154,17037,2012,-202,33932.0,104466.0,254.62,1.0,640.0
155,17037,2013,316,33971.0,104385.0,233.49,0.0,-202.0
156,17037,2014,-273,36150.0,104226.0,229.69,1.0,316.0
157,17037,2015,-59,36301.0,104593.0,237.3,0.0,-273.0
158,17037,2016,-190,37508.0,104238.0,243.38,0.0,-59.0
159,17037,2017,-160,38459.0,104219.0,254.16,0.0,-190.0
160,17037,2018,-514,39484.0,104513.0,266.19,0.0,-160.0
161,17037,2019,-406,40830.0,104587.0,275.01,0.0,-514.0
163,17033,1994,-113,17988.0,20745.0,102.48,0.0,-58.0
164,17033,1995,21,18136.0,20989.0,111.81,0.0,-113.0
165,17033,1996,-89,18100.0,21020.0,114.07,0.0,21.0
166,17033,1997,73,19312.0,21083.0,117.05,1.0,-89.0
167,17033,1998,58,20046.0,21005.0,122.91,0.0,73.0
168,17033,1999,-9,20530.0,20950.0,124.02,0.0,58.0
169,17033,2000,54,20850.0,20854.0,128.12,0.0,-9.0
170,17033,2001,5,22456.0,20411.0,126.79,0.0,54.0
171,17033,2002,63,24403.0,20363.0,130.31,0.0,5.0
172,17033,2003,40,24118.0,20204.0,134.43,1.0,63.0
173,17033,2004,90,24399.0,20106.0,136.57,0.0,40.0
174,17033,2005,12,26731.0,20059.0,134.57,0.0,90.0
175,17033,2006,-15,26833.0,20051.0,138.34,1.0,12.0
176,17033,2007,26,30093.0,19966.0,154.99,0.0,-15.0
177,17033,2008,21,32255.0,19886.0,155.13,0.0,26.0
178,17033,2009,-61,36199.0,19831.0,160.28,1.0,21.0
179,17033,2010,-26,36953.0,19845.0,163.74,0.0,-61.0
180,17033,2011,31,37864.0,19794.0,166.38,0.0,-26.0
181,17033,2012,41,40464.0,19779.0,171.81,1.0,31.0
182,17033,2013,63,41843.0,19594.0,173.89,0.0,41.0
183,17033,2014,-10,41788.0,19441.0,175.17,1.0,63.0
184,17033,2015,-15,43925.0,19290.0,184.61,0.0,-10.0
185,17033,2016,147,44247.0,19262.0,185.13,0.0,-15.0
186,17033,2017,-24,43719.0,19139.0,187.11,0.0,147.0
187,17033,2018,60,44542.0,18979.0,192.07,0.0,-24.0
188,17033,2019,-33,45978.0,18849.0,187.85,0.0,60.0
195,17035,1999,-24,21865.0,11118.0,100.0,0.0,-39.0
196,17035,2000,-57,23042.0,11101.0,111.36,0.0,-24.0
197,17035,2001,-2,24079.0,11318.0,101.75,0.0,-57.0
198,17035,2002,30,25613.0,11238.0,109.05,0.0,-2.0
199,17035,2003,13,25035.0,11171.0,110.64,1.0,30.0
200,17035,2004,26,25718.0,11066.0,114.95,0.0,13.0
201,17035,2005,21,27354.0,11078.0,114.79,0.0,26.0
202,17035,2006,-35,26795.0,11057.0,122.83,1.0,21.0
203,17035,2007,-69,28270.0,11103.0,122.96,0.0,-35.0
204,17035,2008,-32,30082.0,11077.0,126.64,0.0,-69.0
205,17035,2009,44,32276.0,11100.0,128.87,1.0,-32.0
206,17035,2010,6,31713.0,11044.0,130.69,0.0,44.0
207,17035,2011,53,34230.0,11041.0,130.75,0.0,6.0
208,17035,2012,128,35682.0,11084.0,133.19,1.0,53.0
209,17035,2013,-68,36336.0,10955.0,135.81,0.0,128.0
210,17035,2014,115,45355.0,10911.0,138.89,0.0,-68.0
211,17035,2015,38,50140.0,10931.0,140.25,0.0,115.0
212,17035,2016,-51,56180.0,10869.0,136.39,0.0,38.0
213,17035,2017,13,63693.0,10884.0,146.69,0.0,-51.0
214,17035,2018,93,71334.0,10887.0,147.19,0.0,13.0
215,17035,2019,-62,78504.0,10782.0,149.34,0.0,93.0
217,17001,1994,-177,18435.0,67005.0,119.99,1.0,-188.0
218,17001,1995,66,19537.0,67662.0,128.92,0.0,-177.0
219,17001,1996,114,20396.0,67810.0,140.92,0.0,66.0
220,17001,1997,215,21580.0,67686.0,150.39,1.0,114.0
221,17001,1998,325,22445.0,67541.0,152.35,0.0,215.0
222,17001,1999,185,23457.0,67324.0,154.02,0.0,325.0
223,17001,2000,254,23790.0,66951.0,156.07,1.0,185.0
224,17001,2001,162,25307.0,68183.0,159.17,0.0,254.0
225,17001,2002,26,26473.0,68014.0,164.47,1.0,162.0
226,17001,2003,69,27189.0,67776.0,166.98,1.0,26.0
227,17001,2004,260,28549.0,67267.0,169.01,1.0,69.0
228,17001,2005,49,30083.0,66818.0,175.51,0.0,260.0
229,17001,2006,51,30008.0,66920.0,185.8,1.0,49.0
230,17001,2007,249,31240.0,67106.0,196.32,0.0,51.0
231,17001,2008,131,33167.0,66943.0,201.97,1.0,249.0
232,17001,2009,-24,35147.0,66943.0,201.33,1.0,131.0
233,17001,2010,40,34869.0,67039.0,204.5,0.0,-24.0
234,17001,2011,-26,36633.0,67120.0,208.2,1.0,40.0
235,17001,2012,-126,38085.0,67214.0,208.69,1.0,-26.0
236,17001,2013,-2,39527.0,67149.0,211.83,0.0,-126.0
237,17001,2014,14,40084.0,67005.0,213.79,1.0,-2.0
238,17001,2015,7,41142.0,66983.0,220.08,0.0,14.0
239,17001,2016,151,42578.0,66850.0,226.21,0.0,7.0
240,17001,2017,169,43315.0,66490.0,228.77,0.0,151.0
241,17001,2018,155,44801.0,66073.0,234.44,0.0,169.0
242,17001,2019,48,46880.0,65603.0,236.41,0.0,155.0
244,18183,1994,-199,19687.0,28767.0,111.57,0.0,-147.0
245,18183,1995,-113,20912.0,29015.0,116.56,0.0,-199.0
246,18183,1996,-99,21729.0,29404.0,127.93,0.0,-113.0
247,18183,1997,-54,22736.0,29809.0,129.43,1.0,-99.0
248,18183,1998,-214,24375.0,29976.0,135.36,0.0,-54.0
249,18183,1999,-252,25270.0,30358.0,141.71,0.0,-214.0
250,18183,2000,60,25530.0,30811.0,145.34,1.0,-252.0
251,18183,2001,-230,27135.0,30634.0,150.54,0.0,60.0
252,18183,2002,-242,27446.0,30998.0,159.33,1.0,-230.0
253,18183,2003,-190,27356.0,31278.0,161.61,0.0,-242.0
254,18183,2004,-32,28069.0,31621.0,162.81,1.0,-190.0
255,18183,2005,-215,29357.0,31841.0,167.25,1.0,-32.0
256,18183,2006,-245,30173.0,32182.0,172.73,2.0,-215.0
257,18183,2007,-187,31837.0,32597.0,175.74,0.0,-245.0
258,18183,2008,-80,33160.0,32853.0,178.41,1.0,-187.0
259,18183,2009,-9,33900.0,33047.0,176.75,1.0,-80.0
260,18183,2010,-134,32910.0,33125.0,171.95,1.0,-9.0
261,18183,2011,103,33179.0,33335.0,167.91,0.0,-134.0
262,18183,2012,135,35113.0,33357.0,165.38,0.0,103.0
263,18183,2013,-21,37467.0,33336.0,166.41,0.0,135.0
264,18183,2014,-79,38160.0,33287.0,171.81,0.0,-21.0
265,18183,2015,-9,39088.0,33449.0,174.27,1.0,-79.0
266,18183,2016,54,40091.0,33451.0,181.56,0.0,-9.0
267,18183,2017,-315,41532.0,33479.0,185.06,0.0,54.0
268,18183,2018,-106,42942.0,33732.0,193.91,0.0,-315.0
269,18183,2019,-159,45268.0,34036.0,205.63,0.0,-106.0
271,18181,1994,-72,19502.0,24013.0,101.23,0.0,-210.0
272,18181,1995,-358,20463.0,24170.0,106.68,0.0,-72.0
273,18181,1996,-245,20956.0,24568.0,114.03,0.0,-358.0
274,18181,1997,46,21216.0,25043.0,120.19,0.0,-245.0
275,18181,1998,-124,21647.0,25057.0,131.86,0.0,46.0
276,18181,1999,-74,23071.0,25329.0,133.15,0.0,-124.0
277,18181,2000,39,23645.0,25522.0,138.17,1.0,-74.0
278,18181,2001,-38,24930.0,25246.0,145.29,0.0,39.0
279,18181,2002,115,24819.0,25351.0,151.25,1.0,-38.0
280,18181,2003,173,24594.0,25240.0,152.32,0.0,115.0
281,18181,2004,36,24993.0,25060.0,154.8,1.0,173.0
282,18181,2005,156,26871.0,24976.0,158.5,1.0,36.0
283,18181,2006,79,27802.0,24861.0,165.79,2.0,156.0
284,18181,2007,189,29411.0,24830.0,172.81,0.0,79.0
285,18181,2008,-72,31414.0,24762.0,177.37,1.0,189.0
286,18181,2009,163,33238.0,24871.0,174.92,1.0,-72.0
287,18181,2010,-132,31776.0,24573.0,175.56,1.0,163.0
288,18181,2011,55,33177.0,24635.0,171.33,0.0,-132.0
289,18181,2012,26,36145.0,24594.0,166.4,0.0,55.0
290,18181,2013,-82,37009.0,24467.0,169.61,0.0,26.0
291,18181,2014,-122,39388.0,24404.0,167.45,0.0,-82.0
292,18181,2015,60,38839.0,24436.0,170.7,1.0,-122.0
293,18181,2016,173,38740.0,24279.0,170.38,0.0,60.0
294,18181,2017,-272,40305.0,24105.0,175.16,0.0,173.0
295,18181,2018,80,40705.0,24178.0,181.11,0.0,-272.0
296,18181,2019,-52,43508.0,24168.0,197.91,1.0,80.0
298,17005,1994,63,17454.0,15290.0,100.0,0.0,-128.0
299,17005,1995,-18,18352.0,15937.0,104.9,0.0,63.0
300,17005,1996,-31,17942.0,16915.0,110.04,0.0,-18.0
301,17005,1997,-22,19072.0,17046.0,110.96,0.0,-31.0
302,17005,1998,28,20121.0,17122.0,123.0,0.0,-22.0
303,17005,1999,48,20892.0,17287.0,120.4,0.0,28.0
304,17005,2000,-29,22573.0,17155.0,125.37,0.0,48.0
305,17005,2001,-52,23823.0,17659.0,131.42,0.0,-29.0
306,17005,2002,-170,25457.0,17586.0,137.09,0.0,-52.0
307,17005,2003,-31,25135.0,17735.0,139.91,1.0,-170.0
308,17005,2004,-56,25498.0,17960.0,143.08,0.0,-31.0
309,17005,2005,-65,26641.0,18101.0,151.24,0.0,-56.0
310,17005,2006,-9,26407.0,17988.0,162.63,1.0,-65.0
311,17005,2007,-104,27271.0,18004.0,168.64,0.0,-9.0
312,17005,2008,110,26958.0,18077.0,174.91,1.0,-104.0
313,17005,2009,100,28540.0,17916.0,173.76,0.0,110.0
314,17005,2010,-8,28595.0,17747.0,171.16,0.0,100.0
315,17005,2011,-7,29721.0,17778.0,171.58,0.0,-8.0
316,17005,2012,65,30805.0,17727.0,169.34,1.0,-7.0
317,17005,2013,43,31042.0,17538.0,172.0,0.0,65.0
318,17005,2014,80,31727.0,17332.0,170.49,0.0,43.0
319,17005,2015,186,31900.0,17076.0,171.93,0.0,80.0
320,17005,2016,-9,33568.0,16688.0,169.03,0.0,186.0
321,17005,2017,-170,34870.0,16553.0,177.24,0.0,-9.0
322,17005,2018,4,35156.0,16654.0,177.58,0.0,-170.0
323,17005,2019,67,36894.0,16668.0,175.22,0.0,4.0
352,18177,1994,259,17995.0,72334.0,162.03,0.0,4.0
353,18177,1995,32,19564.0,72333.0,172.61,0.0,259.0
354,18177,1996,507,20039.0,72374.0,186.98,0.0,32.0
355,18177,1997,242,21266.0,72019.0,198.49,1.0,507.0
356,18177,1998,255,22686.0,71850.0,209.1,0.0,242.0
357,18177,1999,221,23961.0,71462.0,222.75,1.0,255.0
358,18177,2000,296,24544.0,71134.0,228.63,1.0,221.0
359,18177,2001,182,25207.0,71033.0,245.53,0.0,296.0
360,18177,2002,107,25345.0,70712.0,251.08,0.0,182.0
361,18177,2003,278,25918.0,70545.0,254.92,0.0,107.0
362,18177,2004,369,26428.0,70490.0,260.11,1.0,278.0
363,18177,2005,321,27242.0,70070.0,264.04,0.0,369.0
364,18177,2006,540,27725.0,69793.0,268.23,3.0,321.0
365,18177,2007,239,28742.0,69642.0,269.49,0.0,540.0
366,18177,2008,442,29494.0,69365.0,265.27,0.0,239.0
367,18177,2009,188,30868.0,69093.0,261.21,2.0,442.0
368,18177,2010,175,30076.0,68984.0,254.7,0.0,188.0
369,18177,2011,97,30928.0,68853.0,244.74,0.0,175.0
370,18177,2012,162,32594.0,68661.0,234.35,1.0,97.0
371,18177,2013,68,34452.0,68256.0,230.28,0.0,162.0
372,18177,2014,63,35136.0,67829.0,227.49,0.0,68.0
373,18177,2015,113,36936.0,67427.0,235.17,0.0,63.0
374,18177,2016,9,37301.0,67044.0,236.41,0.0,113.0
375,18177,2017,173,38436.0,66723.0,245.61,0.0,9.0
376,18177,2018,102,39727.0,66307.0,247.66,0.0,173.0
377,18177,2019,19,41469.0,66131.0,260.45,0.0,102.0
379,18175,1994,-31,15977.0,24889.0,120.91,0.0,-236.0
380,18175,1995,-218,16852.0,25312.0,134.43,0.0,-31.0
381,18175,1996,-207,17086.0,26015.0,147.07,0.0,-218.0
382,18175,1997,-264,18217.0,26615.0,160.01,2.0,-207.0
383,18175,1998,-396,19123.0,27107.0,172.05,0.0,-264.0
384,18175,1999,-180,20345.0,27800.0,177.93,0.0,-396.0
385,18175,2000,-67,21185.0,28233.0,184.55,0.0,-180.0
386,18175,2001,-138,23069.0,27247.0,187.28,0.0,-67.0
387,18175,2002,-120,23259.0,27484.0,201.96,0.0,-138.0
388,18175,2003,-6,22650.0,27674.0,209.8,1.0,-120.0
389,18175,2004,-30,23534.0,27736.0,214.16,0.0,-6.0
390,18175,2005,21,24689.0,27854.0,224.95,1.0,-30.0
391,18175,2006,-34,25118.0,27893.0,237.25,3.0,21.0
392,18175,2007,52,25929.0,28164.0,240.71,0.0,-34.0
393,18175,2008,21,26973.0,28236.0,240.9,0.0,52.0
394,18175,2009,123,27838.0,28298.0,250.81,2.0,21.0
395,18175,2010,-34,27079.0,28144.0,226.99,1.0,123.0
396,18175,2011,41,27994.0,28290.0,222.01,0.0,-34.0
397,18175,2012,132,30138.0,28201.0,227.6,1.0,41.0
398,18175,2013,-45,31239.0,27919.0,215.9,1.0,132.0
399,18175,2014,-40,32564.0,27788.0,227.65,0.0,-45.0
400,18175,2015,93,33662.0,27895.0,227.79,0.0,-40.0
401,18175,2016,-70,35286.0,27784.0,238.69,0.0,93.0
402,18175,2017,-234,35244.0,27719.0,243.34,0.0,-70.0
403,18175,2018,-139,36517.0,27780.0,262.11,0.0,-234.0
404,18175,2019,-4,38743.0,27936.0,274.57,0.0,-139.0
406,18179,1994,23,19786.0,26116.0,168.81,0.0,-4.0
407,18179,1995,-14,20995.0,26200.0,177.39,0.0,23.0
408,18179,1996,-86,21209.0,26454.0,190.8,0.0,-14.0
409,18179,1997,-219,22514.0,26587.0,196.42,0.0,-86.0
410,18179,1998,-145,23779.0,26746.0,208.09,0.0,-219.0
411,18179,1999,106,24318.0,26849.0,217.29,0.0,-145.0
412,18179,2000,-33,24971.0,26810.0,224.17,1.0,106.0
413,18179,2001,10,26933.0,27619.0,235.04,0.0,-33.0
414,18179,2002,-66,26452.0,27626.0,246.22,1.0,10.0
415,18179,2003,-86,26317.0,27745.0,249.22,0.0,-66.0
416,18179,2004,17,27029.0,27803.0,252.56,1.0,-86.0
417,18179,2005,-35,28405.0,27826.0,262.49,1.0,17.0
418,18179,2006,-37,28415.0,27820.0,269.46,2.0,-35.0
419,18179,2007,32,29505.0,27872.0,270.85,0.0,-37.0
420,18179,2008,-38,30919.0,27836.0,272.3,1.0,32.0
421,18179,2009,-11,32452.0,27751.0,271.37,0.0,-38.0
422,18179,2010,-81,31791.0,27620.0,270.54,0.0,-11.0
423,18179,2011,19,33540.0,27642.0,265.0,0.0,-81.0
424,18179,2012,-24,35118.0,27737.0,262.45,0.0,19.0
425,18179,2013,-219,36651.0,27707.0,262.26,0.0,-24.0
426,18179,2014,-262,38426.0,27716.0,269.9,0.0,-219.0
427,18179,2015,-93,38877.0,27817.0,270.72,0.0,-262.0
428,18179,2016,-61,38900.0,27854.0,278.72,0.0,-93.0
429,18179,2017,-143,39340.0,27863.0,287.45,0.0,-61.0
430,18179,2018,-148,40514.0,27934.0,304.76,0.0,-143.0
431,18179,2019,31,42197.0,27982.0,319.96,0.0,-148.0
433,17007,1994,-940,20566.0,33566.0,176.39,1.0,-870.0
434,17007,1995,-845,22409.0,34765.0,189.55,0.0,-940.0
435,17007,1996,-838,23515.0,36009.0,201.81,0.0,-845.0
436,17007,1997,-689,24391.0,37167.0,208.57,0.0,-838.0
437,17007,1998,-588,25306.0,37923.0,213.58,0.0,-689.0
438,17007,1999,-620,26559.0,38748.0,214.9,0.0,-588.0
439,17007,2000,-910,28592.0,39560.0,219.27,0.0,-620.0
440,17007,2001,-903,28398.0,42052.0,225.68,0.0,-910.0
441,17007,2002,-1217,28251.0,43220.0,232.7,1.0,-903.0
442,17007,2003,-1502,28508.0,44585.0,238.09,0.0,-1217.0
443,17007,2004,-1657,29000.0,46242.0,242.23,0.0,-1502.0
444,17007,2005,-1629,29293.0,47893.0,254.96,0.0,-1657.0
445,17007,2006,-1538,30771.0,49725.0,277.8,1.0,-1629.0
446,17007,2007,-1255,33172.0,51797.0,292.13,0.0,-1538.0
447,17007,2008,-509,34603.0,53512.0,299.39,1.0,-1255.0
448,17007,2009,48,35705.0,54211.0,285.29,1.0,-509.0
449,17007,2010,61,34161.0,54154.0,262.14,0.0,48.0
450,17007,2011,-70,34937.0,54160.0,236.09,0.0,61.0
451,17007,2012,-189,37247.0,54123.0,221.53,1.0,-70.0
452,17007,2013,-47,38917.0,53729.0,208.12,0.0,-189.0
453,17007,2014,-378,39575.0,53737.0,201.09,0.0,-47.0
454,17007,2015,-264,40445.0,53702.0,200.19,0.0,-378.0
455,17007,2016,-272,42066.0,53571.0,207.62,0.0,-264.0
456,17007,2017,-695,43684.0,53559.0,213.3,0.0,-272.0
457,17007,2018,-432,45118.0,53481.0,221.98,0.0,-695.0
458,17007,2019,-296,47006.0,53368.0,230.61,0.0,-432.0
460,17019,1994,3453,19563.0,170881.0,139.97,0.0,2672.0
461,17019,1995,892,20381.0,167992.0,144.37,1.0,3453.0
462,17019,1996,857,21281.0,169004.0,150.66,0.0,892.0
463,17019,1997,1097,22182.0,170033.0,155.67,2.0,857.0
464,17019,1998,1929,23161.0,170490.0,159.82,0.0,1097.0
465,17019,1999,1362,24217.0,169835.0,165.23,0.0,1929.0
466,17019,2000,1160,25196.0,170272.0,169.79,1.0,1362.0
467,17019,2001,1356,26959.0,180041.0,178.59,0.0,1160.0
468,17019,2002,900,28574.0,181956.0,185.96,0.0,1356.0
469,17019,2003,690,29045.0,184198.0,194.19,1.0,900.0
470,17019,2004,932,29592.0,187013.0,200.46,0.0,690.0
471,17019,2005,867,30653.0,188617.0,216.11,0.0,932.0
472,17019,2006,689,30683.0,190659.0,229.43,1.0,867.0
473,17019,2007,467,31920.0,193844.0,237.28,0.0,689.0
474,17019,2008,1573,33334.0,196621.0,240.06,0.0,467.0
